AHJ Name,AHJ Type,County,Electric Utility,Comprehensive Plan,Moratorium,Zoning Map,Past Solar Project?,Project Names,Status,Approval/Denial Year,Council Votes,Zoning,Project Size (MW),Citizen Concerns,Official Concerns,Parcel ID/Address,Reference Link ,AHJ Download Folder,Project Sentiment (1-3),AHJ General Sentiment (1-3)
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2024,Yes,"Heyworth Solar, LLC (by Geronimo Energy) (2018)",Approved,2018,17-2 (Nay: Members Cavallini and Metsker),Agriculture,4 MW,N/A ,N/A ,34-07-400-004,"https://drive.google.com/file/d/1H5x9_E-ENcY0lKF4_3MYDFC7yACyc7DH/view?usp=drive_link
https://drive.google.com/file/d/1BqqP8iYcgkXAfMq68IDhWEd1sl85dZ1y/view?usp=drive_link
https://drive.google.com/file/d/1PzBYh_iXacTrCp9PZQIsk7GZO3D5wqyk/view?usp=drive_link
https://drive.google.com/file/d/12D_0gBONrSSHiIi9dordexeqDJMFy36U/view?usp=sharing",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2025,Yes,"Heyworth Renewables I&II, LLC (by Nexamp, Inc.) (2018)",Approved,2018,NA-2 (Nay: Members Cavallini and Metsker),Agriculture,2 * 2 MW = 4 MW,N/A ,N/A ,35-10-100-006,"https://drive.google.com/file/d/19I7LTqJ_4UDDWpgF4yHltdt1I_29s5qs/view?usp=drive_link
https://www.mcleancountyil.gov/DocumentCenter/View/13205/SU-18-18-Heyworth-Renewables-I-LLC-by-Nexamp-Inc?bidId=
https://www.mcleancountyil.gov/DocumentCenter/View/13204/SU-18-19-Heyworth-Renewables-II-LLC-by-Nexamp-Inc?bidId=",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2026,Yes,"Arrowsmith Renewables I, LLC (by Nexamp, Inc.) (2018)",Approved,2018,NA-1 (Nay: Member Metsker),Agriculture,2 MW,- Potential for diminished property values or negative impact on adjacent properties (standard met).,N/A ,24-21-200-007,"https://drive.google.com/file/d/16_qQy1ut8flkxOu3TiMjcDfLbNUwDdAk/view?usp=drive_link
https://drive.google.com/file/d/1mYba9qzcbXivTFd0whyV4mbH1CRcpDyf/view?usp=drive_link",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2027,Yes,"Arrowsmith Renewables II, LLC (by Nexamp, Inc.) (2018)",Approved,2018,NA-2,Agriculture,2 MW,N/A ,N/A ,24-21-200-007,"https://drive.google.com/file/d/16_qQy1ut8flkxOu3TiMjcDfLbNUwDdAk/view?usp=drive_link
https://drive.google.com/file/d/1mYba9qzcbXivTFd0whyV4mbH1CRcpDyf/view?usp=drive_link",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2028,Yes,"Towanda Solar, LLC (2018)",Approved,2018,17-2 (Nay: Members Cavallini and Metsker),Agriculture,2 MW,N/A ,N/A ,20-23-400-009 and 20-23-400-010,"https://drive.google.com/file/d/1BqqP8iYcgkXAfMq68IDhWEd1sl85dZ1y/view?usp=drive_link
https://drive.google.com/file/d/1WDxVi_pHwiwZ4nPDJkAWQGqOm8RapWvC/view?usp=drive_link
https://drive.google.com/file/d/1EqJeX3gWPEp0I7bsXLoMA5GWBmQbF3Ni/view?usp=drive_link
https://drive.google.com/file/d/1i2uoZRrYfNRbk8WkZ5W6iNscW7yaUQtf/view?usp=drive_link
https://drive.google.com/file/d/12D_0gBONrSSHiIi9dordexeqDJMFy36U/view?usp=sharing",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2029,Yes,"Breezewood Solar, LLC (2018)",Approved,2018,N/A ,Agriculture,2 MW,N/A ,N/A ,21-21-176-002,"https://drive.google.com/file/d/1--xkFga3Dbr7Uv4KpEqKWlHxHbJ6Jku_/view?usp=drive_link
https://drive.google.com/file/d/1EqJeX3gWPEp0I7bsXLoMA5GWBmQbF3Ni/view?usp=drive_link
https://drive.google.com/file/d/1R1UCpkMk5bGetVQESNSCsze8d1LHdZND/view?usp=drive_link
https://drive.google.com/file/d/10_6ZhkNwN6Hx6TDgBVowhk_jt7_x4efm/view?usp=drive_link
https://drive.google.com/file/d/14hz-TeDKMCLT05CEmP9cs5NqjMu1KGzI/view?usp=drive_link",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2030,Yes,"ASD McLean IL Solar I, LLC (PureSky Energy) (2018)",Approved,2018,"ZBA Recommendation: 7-0
City Council vote: N/A",Agriculture,2 * 2 MW = 4 MW,N/A ,"- Stipulation for escrow agreement ($279,161.75) for decommissioning costs. 
- Requires Agricultural Impact Mitigation Agreement (AIMA) and financial assurance for decommissioning. 
- Field tile damage must be repaired, stormwater management plan required, lighting must be shielded and for security/safety only",22-31-100-003 & 22-30-300-002,"https://drive.google.com/file/d/1BqqP8iYcgkXAfMq68IDhWEd1sl85dZ1y/view?usp=drive_link
https://drive.google.com/file/d/1YMIRr4yMKB7QihdGq5gJ-ro8wBVn27BV/view?usp=drive_link
https://drive.google.com/file/d/1YM8_9XKhQUVSn3o28Hi55rujGbE4U1tc/view?usp=drive_link
https://drive.google.com/file/d/1darKbO1ErMRqSVtDnHY-y0-ZV0Xa_yLG/view?usp=drive_link",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2031,Yes,"ASD McLean IL Solar II, LLC (2018)",Approved,2018,All ayes (unanimous),Agriculture,2 MW,N/A ,N/A ,21-22-326-003,"https://drive.google.com/file/d/1T8FnS3U5Xq7py6CBS7UFf7mtew_JbNUr/view?usp=drive_link
https://drive.google.com/file/d/19I7LTqJ_4UDDWpgF4yHltdt1I_29s5qs/view?usp=sharing",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2032,Yes,"ASD McLean IL Solar III, LLC (PureSky Energy) (2018)",Approved,2018,"ZBA Recommendation: 7-0
City Council vote: N/A",Agriculture,2 MW,N/A ,N/A ,"21-27-351-002, 21-27-352-002 & 21-34-100-010 (also 21-34-100-002 in)","https://drive.google.com/file/d/1T8FnS3U5Xq7py6CBS7UFf7mtew_JbNUr/view?usp=drive_link
https://drive.google.com/file/d/1YM8_9XKhQUVSn3o28Hi55rujGbE4U1tc/view?usp=drive_link
https://drive.google.com/file/d/1iAIwhVdP5Wn6yBcXOOnXRfzreCLwhaQd/view?usp=drive_link
https://drive.google.com/file/d/1darKbO1ErMRqSVtDnHY-y0-ZV0Xa_yLG/view?usp=sharing",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2033,Yes,"ASD McLean IL Solar IV, LLC (by Amp Solar Development, Inc.) (2019)",Approved,2019,N/A ,Agriculture,N/A ,N/A ,N/A ,20-35-476-002,https://drive.google.com/file/d/138DeM5Cbl54Qek5yUBWNWoNVppbluatR/view?usp=drive_link,https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2034,Yes,"ASD McLean IL Solar V, LLC (PureSky Energy) (2019)",Approved,2019,"ZBA Recommendation: 7-0
City Council vote: N/A",Agriculture & M-2 General Manufacturing Districts,4 MW,N/A ,"- An Agricultural Impact Mitigation Agreement (AIMA) and financial assurance for decommissioning are required. 
- A decommissioning plan and proposed decommissioning bond for $100,000 were stipulated. Surety updates required every five years. The Illinois Department of Natural Resources (IDNR) found no record of State-listed threatened or endangered species in the vicinity, and consultation was terminated. Field tile damage must be repaired. ",02-01-300-011,"https://drive.google.com/file/d/138DeM5Cbl54Qek5yUBWNWoNVppbluatR/view?usp=drive_link
https://drive.google.com/file/d/1iAIwhVdP5Wn6yBcXOOnXRfzreCLwhaQd/view?usp=drive_link
https://drive.google.com/file/d/1YM8_9XKhQUVSn3o28Hi55rujGbE4U1tc/view?usp=drive_link
https://drive.google.com/file/d/1darKbO1ErMRqSVtDnHY-y0-ZV0Xa_yLG/view?usp=sharing",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2035,Yes,"ASD McLean IL Solar VI, LLC (2019)",Approved,2019,N/A,Agriculture,4 MW,N/A ,N/A ,02-09-400-002,"https://drive.google.com/file/d/138DeM5Cbl54Qek5yUBWNWoNVppbluatR/view?usp=drive_link
https://drive.google.com/file/d/1hSRnSv4sdd3aadTQht59e6mzwS_KCVth/view?usp=drive_link",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2036,Yes,"Moraine Solar, LLC (by Cypress Creek Renewables) (2019)",Approved,2019,16-2,Agriculture,N/A ,N/A ,N/A ,29-10-200-005,"https://drive.google.com/file/d/1YbiMaaiupW8hV1YnPzpTz2FHaKjzyvsA/view?usp=drive_link
https://drive.google.com/file/d/1--xkFga3Dbr7Uv4KpEqKWlHxHbJ6Jku_/view?usp=drive_link
https://drive.google.com/file/d/1kytJBWIv-JSNGl8MGOKLQT2To4VtGP3d/view?usp=drive_link",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2037,Yes,Hudson Twp III Solar LLC (2025),Approved,2025,N/A,Agriculture,5 MW,N/A ,N/A ,07-11-200-004,https://drive.google.com/file/d/1OtNpz3vKasu8KwqbrKjsK8JWzuJYC2so/view?usp=drive_link,https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2038,Yes,"Suter Solar, LLC (2025)",Approved,2025,N/A ,Agriculture,5 MW,N/A ,N/A ,29-13-400-003 and 30-18-300-009,https://drive.google.com/file/d/1OtNpz3vKasu8KwqbrKjsK8JWzuJYC2so/view?usp=drive_link,https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2039,Yes,"Archtop Solar, LLC for Earthrise Energy (2024)",Approved,2024,"ZBA Recommendation: 7-0
City Council vote: N/A",N/A ,"Not specified, but covers 1,365 acres",N/A ,N/A ,"Multiple parcels listed: 25-25-100-001, 25-24-300-003, 25-24-300-004, 25-25-100-002, 25-24-400-006, 25-24-300-005, 25-24-100-001, 25-24-100-002, 25-23-200-001, 25-13-100-002, 25-13-200-001, 25-12-400-002, 25-13-100-004, 25-14-200-004, & 25-15-200-001",https://drive.google.com/file/d/1RltiODDjN68kuoBqvM9UfpjxMhoWHx4Q/view?usp=drive_link,https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2040,Yes,"PSE McLean IL Solar VII, LLC (2022)",Approved,2022,All ayes (unanimous),Agriculture,4 MW,N/A ,N/A ,22-31-100-003 & 22-30-300-002,"https://drive.google.com/file/d/1YMIRr4yMKB7QihdGq5gJ-ro8wBVn27BV/view?usp=drive_link
https://drive.google.com/file/d/12qEgcYkgfatqiLBaEibjp2Qp7cu2vW36/view?usp=drive_link",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2041,Yes,"Old Colonial IL Solar, LLC (later PureSky Energy) (2024)",Approved,2024,"ZBA Recommendation: 7-0
City Council vote: N/A",Agriculture,5 MW,N/A ,N/A ,"21-22-400-019, 21-22-400-021 & 21-23-351-003","https://drive.google.com/file/d/1YM8_9XKhQUVSn3o28Hi55rujGbE4U1tc/view?usp=drive_link
https://drive.google.com/file/d/1iAIwhVdP5Wn6yBcXOOnXRfzreCLwhaQd/view?usp=drive_link
https://drive.google.com/file/d/1darKbO1ErMRqSVtDnHY-y0-ZV0Xa_yLG/view?usp=drive_link
https://drive.google.com/file/d/1-ZsmxL8W6VC61g0MkUZTT7ygu7345POm/view?usp=drive_link
https://drive.google.com/file/d/1darKbO1ErMRqSVtDnHY-y0-ZV0Xa_yLG/view?usp=sharing",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2042,Yes,"TerraNavigator, LLC (2018)",Approved,2018,NA-2,Agriculture,2 MW,N/A ,N/A ,"21-07-100-017, 21-07-300-016, & 20-12-400-011","https://drive.google.com/file/d/16_qQy1ut8flkxOu3TiMjcDfLbNUwDdAk/view?usp=drive_link
https://drive.google.com/file/d/1mYba9qzcbXivTFd0whyV4mbH1CRcpDyf/view?usp=drive_link",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
McLean,County,McLean,Ameren,https://npr.brightspotcdn.com/70/34/9229f7094ccd808bfbdcb393c7ea/strategic-land-use-map-final-draft-june-23-2025.pdf,None,https://www.mcleancountyil.gov/DocumentCenter/View/17759/Zoning-Map-Countywide-3_13_2043,Yes,Hudson Twp Solar LLC by 6GM LLC (2024),Approved,2024,"ZBA Recommendation: 7-0-1
City Council vote: N/A",Agriculture,10 MW,N/A ,N/A ,07-10-200-005,"https://drive.google.com/file/d/1kupy4r7dKm_P2cyNGsU5w8zoi94nTtQP/view?usp=drive_link
https://drive.google.com/file/d/1TxvJwDQzniOYfYsgqfrZ0k7dHqcVBP8e/view?usp=drive_link",https://drive.google.com/drive/folders/1KWXOvwiAWLLgSBBjDeigiQyxSEgntpxm?usp=drive_link,3,3
